3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
10.04.1340	475	Mülkiye Harcırah Kararnamesine Tevfikan Verilmekte Olan Umum Harcırahlardan Yüzde Kırk Tenzilat İcrası Hakkındaki 2 Ağustos 1336 Tarihli Kanunun İlgasına Dair Kanun
10.04.1340	476	Trabzon - Erzurum Demiryolları ile Trabzon Limanı Keşfiyat ve İhrazatının 1340 Senesi Zarfında İcrasına Dair Kanun
19.04.1340	489	Mersin Limanının İnşaası Hakkında Kanun
21.04.1340	492	Usulü Muhakemei Hukukiye ve Usulü Muhakematı Cezaiye Kanunları ile Sulh ve İcra Kanunlarının Bazı Mevaddını Muaddil Kanun
21.04.1340	499	Ziraat Bankası Matlubatı Atikasının Sureti Tediyesine Dair Kanun
22.04.1340	503	Mükellefiyeti Nakliyei Askeriye Kanununa Müzeyyel Kanun
22.04.1340	505	Keller ve Gaziantep Yolunun Turuku Umumiye Meyanına İthaline Dair Kanun
22.04.1340	510	Jandarma Mülazimievvel ve Sanilerinin Zati Hayvanlarına Yem Bedeli İtasına Dair Kanun
22.04.1340	511	İkinci Sınıf İhtiyat Zabitanının Darulmualitminlere Kabulü Hakkında Kanun
22.04.1340	512	Mübadele, imar vs İskan Kanununun Birinci Maddesine Müzeyyel Maddei Kanuniye
23.10.1340	516	Erzurum ve Civar Vilayetlerde Hareketi Arzdan Yıkılan Mesakinin İnşası ve Felaketzedeganın Barındırılması İçin Yapılacak Mübayaatin Pazarlık Suretiyle İcrasına Dair Kanun
19.11.1340	521	21.01.1338 Tarih ve 183 Numaralı «Tecili Takibat» Kanununun Fer an Zımethal Olanlarada Teşmili Hakkında Kanun
13.12.1340	532	Resülayn Kazası Teşkiline ve Mustafa Paşa Kazasının Lağvına Dair Kanun
15.12.1340	534	Meclisin Elektrik ile Tenviri için Muktazi İki Motorun Pazarlık Suretiyle Mübaayasına Dair Kanun
20.12.1340	535	12 Nisan 1339 Tarih ve 329 Numaralı Ziraatte Müstamel Olup Hariçten İthal Edilecek Mevadı Müştaile Gümrük Resmine Dair 12.04.1339 Tarihli Kanunun Birinci Maddesini Muaddil Kanun
20.12.1340	536	Fono Telgraf Kanunu
27.12.1340	538	08.04.1339 Tarih ve 326 Numaralı «İdarei Vilayet Kanunu ile Tedrisat-ı İptidaiye Kararnamesinin Tadiline Dair» Kanunun 13 üncü Maddesini Muaddil Kanun
19.01.1341	543	Yunan Tabasına Ait Emvali Gayri Menkülenin İdaresi Hakkında Kanun
22.01.1341	546	Memleketin Zahire ve Un İhtiyacının Teshili Hakkında Kanun
04.02.1341	550	Umum Jandarma Kumandanlığının 1341 Senesi Bütçesine İthal Edilmiş Olan Kıtaattan Bir Hudut Taburu ile Bir Seyyar Jandarma Alayının ve Ahiren Teşkiline Lüzum Görülen Üç Piyade Jandarma Taburiyle Bir Süvari Jandarma Bölüğünün Derhal Teşkiline ve Maaş ve Mesarifi Umumiyeierinin 1340 Senesi Jandarma Bütçesine Tahsisatı Münzamma Olarak İlavesine Dair Kanun
19.02.1341	554	Telsiz Tesisi Hakkında Kanun
03.03.1341	576	Hükümetle Fenerler İdaresi Arasında Munakıt İtilafnamelerin Tasdiki Hakkında Kanun
03.03.1341	577	Himayei Elfal Cemiyetine Füruht Olunacak Arsa Hakkında Kanun
04.03.1341	578	Takriri Sükun Kanunu
15.03.1341	583	Ankara da İnşası Mukarrer Yenimahalle İçin Muktazi Yerler ile Bataklık ve Merzağı Arazinin Şehremanetince İstimlaki Hakkında Kanun
16.03.1341	584	Seferber Edilen Kıtaat Zabitan, ve Mensubini Askeriyesine İkişer Maaş Nisbetinde Avans İtasına Daiır Kanun
19.03.1341	585	İki Jandarma Hudut Taburunun 1 Mart 1341 Tarihinden İtibaren Teşkiline Dair Kanun
19.03.1341	586	Ankara Memurin Kooperatifi Teşkili İçin Ankara da Bulunan Bilumum Memurinin Maatahsisat Nısıf Maaşlarının Avans Olarak İtası Hakkında Kanun
