3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
13.01.1947	4998	Kanunlarda Geçen Başkumandan, Başkomutan ve Başbuğ Tabirleri Yerine Kaim Olacak Unvan Hakında Kanun
27.01.1947	4999	İstanbul Üniversitesi Binalarının Yapımı Hakkında Kanun
29.01.1947	5000	Devlet Demiryolları ve Limanları İşletme Genel Müdürlüğü Memur ve Hizmetlilerinin Ücretlerine Dair Olan 2847, 3173 ve 4620 Sayılı Kanunlarda Değişiklik Yapılması Hakkında Kanun
17.02.1947	5004	Olağanüstü Vaziyet Dolayısıyla Bazı Vergi ve Resimlere Zam İcrasına Dair Olan 3828 Sayılı Kanuna Ek 4040 Sayılı Kanunla 4226 Sayılı Kanunda Bazı Değişiklikler Yapılması Hakkında Kanun
17.02.1947	5010	Askerlik Kanununun 35 inci Maddesine Bir Fıkra Eklenmesi Hakkında Kanun
17.02.1947	5011	T.B.M.M. Binası ve Eklenti Binaları ile Tesislerinin Yapımı Yetkisinin Bayındırlık Bakanlığına Devri Hakkında Kanun
19.02.1947	5013	Ordu ve Jandarmaya Mensup Subaylarla Eratın Vesair Binek Hakkı Olanların Kendi Malı Bineklerinin ve Orduya Alınan Ahali Nakliye Vasıtalarının Ödenmesine Dair Olan 1471 Sayılı Kanunun 4657 Sayılı Kanunla Değiştirilen 4 üncü Maddesinin Değiştirilmesi Hakkında Kanun
19.02.1947	5014	Türk Parasının Kıymetini Koruma Hakkındaki 1567 Sayılı Kanun Süresinin Uzatılmasına Dair Kanun
21.02.1947	5020	Milli Korunma Kanununun Bazı Maddelerinin Değiştirilmesine Dair Kanun
21.02.1947	5023	Dışişleri Bakanlığı Kuruluşu Hakkındaki 3312 Sayılı Kanuna Ek Kanun
21.02.1947	5024	Jandarma Erat Kanununun 12 nci ve Geçici 3 üncü Maddelerinin Değiştirilmesi Hakkında Kanun
21.02.1947	5032	İstanbul Adalet Binası İnşası İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında Kanun
21.05.1947	5048	İdarei Umumiyei Vilayat Kanununun Değişik 116 ve 140 ıncı Maddelerinin Değiştirilmesine Dair Kanun
21.05.1947	5050	Toprak Mahsulleri Vergisi Artıklarının Silinmesi Hakkında Kanun
30.05.1947	5052	Beden Terbiyesi Kanununa Ek 4047 Sayılı Kanunun Geçici Birinci Maddesi Hükmünün 1947 Yılı Sonuna Kadar Uzatılması Hakkında Kanun
30.05.1947	5054	Devlet Demiryolları ve Limanları İşletme Genel Müdürlüğü Teşkilat ve Vazifeleri Hakkındaki 1042 Sayılı Kanuna Ek Kanun
11.06.1947	5068	İzmir Telefon Tesislerinin Tesellüm ve İşletme Muameleleri Hakkındaki 3488 Sayılı Kanunun Bazı Maddelerinin Kaldırılmasına Dair Kanun
11.06.1947	5069	PTT İşletme Genel Müdürlüğü Kuruluş ve Görevleri ve Memurları Hakkındaki 4454 Sayılı Kanunun 37, 38 ve 39 uncu Maddelerinin Ertelenmesine Dair Kanun
11.06.1947	5075	Devlet Demiryolları ve Limanları İnşaatı İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkındaki 4643 Sayılı Kanunda Değişiklik Yapılmasına Dair Kanun
11.06.1947	5076	Devlet Hava Yolları Genel Müdürlüğü İhtiyaçları İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkındaki 4860 Sayılı Kanunda Değişiklik Yapılmasına Dair Kanun
16.06.1947	5077	Genel Muhasebe Kanununun 83 üncü Maddesinin «A» Fıkrasının Değiştirilmesi Hakkında Kanun
16.06.1947	5080	Devlet Demiryolları ve Limanları İşletme Genel Müdürlüğü Memur ve Hizmetlilerinin Ücretlerine Dair Olan Kanunda Değişiklik Yapan 4620 ve 5000 Sayılı Kanunların Bazı Hükümlerinin Değiştirilmesi Hakkında Kanun
16.06.1947	5087	Sağlık ve Sosyal Yardım Bakanlığı Kuruluş ve Memurları Kanununa Bazı Hükümler Eklenmesine Dair Olan 4862 Sayılı Kanunun Bağlı Kadro Cetvellerinde Değişiklik Yapılması Hakkında Kanun
16.06.1947	5089	Şaraplık Üzüm Bağı Yetiştireceklere Yapılacak İkraz Hakkında Kanun
17.06.1947	5095	Tarım Kredi Kooperatifleri Kanununda Değişiklik Yapılması Hakkında Kanun
18.06.1947	5099	Yedek Subay ve Askeri Memurları Hakkındaki 1076 Sayılı Kanunun 8 ve 23 üncü Maddeleririnin Değiştirilmesine Dair Kanun
18.06.1947	5109	Maden Ocaklarında Yer Altında Çalışan İşçi Ücretlerinin Kazanç, Buhran, Muvazene ve Hava Kuvvetlerine Yardım Vergileriyle Damga Resminden Bağışık Tutulması Hakkında Kanun
16.01.1948	5163	4353 Sayılı Kanunun Geçici Birinci Maddesiyle 4659 Sayılı Kanunda Yazılı Sürenin İki Yıl Uzatılması Hakkında Kanun
30.01.1948	5166	Özel İdarelerden Aylık Alan İlkokul Öğretmenlerinin Kadrolarının Milli Eğitim Bakanlığı Teşkilatına Alınması Hakkında Kanun
04.02.1948	5168	Belediye Kanununun 94 üncü Maddesinin (A) Fıkrasının Kaldırılması Hakkında Kanun
16.02.1948	5185	İç İstikraz Akdi Hakkında Kanun
18.02.1948	5187	Hasankeyf Mahsülünden İhraç Vergisi Alınmaması Hakkında Kanun
20.02.1948	5188	Polis Vazife ve Salahiyet Kanununun 18 inci Maddesinin Kaldırılmasına Dair Kanun
19.04.1948	5194	Sağlık ve Sosyal Yardım Bakanlığı Kuruluş ve Memurları Kanununa Bazı Hükümler Eklenmesine Dair Olan 4862 Sayılı Kanuna Bağlı (1) ve (2) ve 4258 Sayılı Kanuna Bağlı (3) Sayılı Cetvellerde Değişiklik Yapılması Hakkında Kanun
14.06.1948	5217	Yabancı Memleketlerle Geçici Mahiyette Ticaret Anlaşmaları ve Modüs Vivendiler Akdine ve Bunların Şumulüne Giren Maddelerin Gümrük Resimlerinde Değişiklik Yapılmasına ve Anlaşmaya Yanaşmayan Devletler Müveredatına Karşı Tedbirler Alınmasına Yetki Verilmesine Dair Olan 4582 Sayılı Kanunun Yürürlük Süresinin Uzatılması Hakkında Kanun
16.06.1948	5219	Orta Öğretim Okullarında Yardımcı Öğretmen Çalıştırılması Hakkındaki 2624 Sayılı Kanunun 4504 Sayılı Kanunla Değiştirilen İkinci Maddesinin Değiştirilmesi Hakkında Kanun
21.06.1948	5221	Yedek Subay ve Askeri Memurlar Hakkındaki Kanunun 3923 Sayılı Kanunla Değiştirilen 3 üncü Maddesine Bazı Hükümler Eklenmesine Dair Olan 3993 Sayılı Kanunun 1 inci Maddesinin A Fıkrasının Değiştirilmesi Hakkında Kanun
21.06.1948	5222	Demiryollar ve Limanlar İnşaatı İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkındaki 4643 Sayılı Kanunda Değişiklik Yapılmasına Dair Kanun
21.06.1948	5223	Filyos - Ereğli Hattı ile Ereğli Limanının İnşasına Dair Olan 2214 Sayılı Kanunda Değişiklik Yapılması Hakkında Kanun
30.06.1948	5232	Devlete Ait Bir Kısım Binalar Satış Bedeli ile Resmi Daireler Yapılması Hakkındaki 2300 Sayılı Kanunla Bu Kanunun 2 nci Maddesini Değiştiren 3276 Sayılı Kanunun Yürürlükten Kaldırılmasına Dair Kanun
30.06.1948	5234	Üniversiteler Kanununa Ek Kanun
06.07.1948	5241	İnebolu ve Amasra Limanları Yapımı İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkındaki 4870 Sayılı Kanunun 1 inci Maddesinin Değiştirilmesine Dair Kanun
06.07.1948	5242	İlkokul Öğretmenlerinin Almakta Oldukları Aylık Dereceleri Hakkında Kanun
08.07.1948	5250	Dışişleri Bakanlığı Kuruluşu Hakkındaki 3312 Sayılı Kanuna Ek Kanun
09.07.1948	5259	Yeniden Yapılacak Su İşleri İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesine İzin Verilmesi Hakkındaki 3132, 4100 ve 4649 Sayılı Kanunlara Ek Kanun
06.12.1948	5261	Başbakanlık Kuruluşu Hakkında 4443 Sayılı Kanuna Bağlı Cetvele 4952 Sayılı Kanunla Eklenen Kadroların Kaldırılması Hakkında Kanun
22.12.1948	5281	Şeker ve Glikoz İstihlak Vergisi Hakkındaki 3101 Sayılı Kanuna Ek 4385 Sayılı Kanunun Bazı Maddelerinin Değiştirilmesine ve Bazı Maddelerinin Kaldırılmasına Dair Kanun
27.12.1948	5283	Özel İdarelerden Aylık Alan İlkokul Öğretmenlerinin Kadrolarının Milli Eğitim Bakanlığı Teşkilatına Alınması Hakkındaki 5166 Sayılı Kanuna Bağlı 1 Sayılı Cetvelin Değiştirilmesi Hakkında Kanun
17.12.1948	5284	Zonguldak Maden Başçavuş Okulu ile Maden Teknisyen Okulunun Milli Eğitim Bakanlığına Devri Hakkında Kanun
29.12.1948	5286	Orta Öğretim Okullarında Yardımcı öğretmen Çalıştırılması Hakkındaki 2624 Sayılı Kanun Süresinin Uzatılması Hakkında Kanun
07.02.1949	5321	Çakmak ve Suni Çakmak Taşının Tekel Konusundan Çıkarılmasına ve Bu Maddelerin Gümrük Resimlerinde Değişiklik Yapılmasına Dair Kanun
16.02.1949	5337	Çok Çocuklu Hakimlere Verilecek Yardım Paralarıyla İkramiye Hakkındaki 3253 Sayılı Kanunun Kaldırılmasına ve Bu Kanuna Göre Toplanmış Paraların Ne Şekilde Kullanılacağına Dair Kanun
14.03.1949	5353	Sağlık ve Sosyal Yardım Bakanlığı Kuruluş Kadroları Hakkındaki 4862 Sayılı Kanuna Bağlı Cetvellere Bazı Kadrolar Eklenmesi Hakkında Kanun
06.04.1949	5362	Teknik Ziraat ve Teknik Bahçıvanlık Okulları Hakkındaki 4486 Sayılı Kanunun 17 ve 19 uncu Maddelerinin Kaldırılması Hakkında Kanun
06.04.1949	5364	Bazı Kimyevi Müstahzarların Hangi Tarife Pozisyonlarına Uygulanacağını Gösteren Cetvelin Yürürlükten Kaldırılması Hakkındaki Kararın Onanmasına Dair Kanun
06.04.1949	5365	Umumi İhtiyaçlar İçin Hariçten Getirilecek Madeni Su Borularıyla Aksam ve Teferruatından Gümrük Resmi Alınmamasına Dair Olan 2268 Sayılı Kanunun Birinci Maddesinin Değiştirilmesi Hakkında Kanun
25.04.1949	5374	Milli Savunma Bakanlığına Bağlı Döner Sermayeli Hasırcı Çiftliği ve Tay Deposunun Arazi, Bina, Tesis ve Diğer Malzemesiyle Birlikte Tarım Bakanlığına Devri Hakkında Kanun
02.05.1949	5379	Hatay İli İçindeki Belediye ve Köy İdarelerinin Hazineye Geçen Borçlarının Affı Hakkında Kanun
02.05.1949	5382	120 Milyon Liralık İç İstikraz Akdi Hakkında Kanun
04.05.1949	5384	İstiklal Mehakimi Kanunu ile Tadillerinin Yürürlükten Kaldırılması Hakkında Kanun
04.05.1949	5385	Belediye Gelirleri Kanununun 22 nci Maddesinin Değiştirilmesi Hakkında Kanun
24.05.1949	5390	Devlet Demiryolları ve Limanları İşletme Genel Müdürlüğü Memur ve Hizmetlilerinin Ücretlerine Dair Olan 2847 Sayılı Kanunu 3173 Sayılı Kanunla Değiştirilen 11 inci Maddesinin Değiştirilmesi Hakkında Kanun
24.05.1949	5391	2285 ve 2401 Sayılı Kanunlarla İşletmesi Cenup Demiryolları Türk Anonim Ortaklığına Verilmiş Olan Demiryol İşletmesinin Devlet Demiryolları ve Limanları İşletme Genel Müdürlüğüne Devri Hakkında Kanun
31.05.1949	5413	Demiryollar ve Limanlar İnşaatı İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında 4643 Sayılı Kanuna Ek Kanun
31.05.1949	5415	Kozlu - Ereğli Hattı ile Armutçuk Şube Hattı İnşasına Ait Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında Kanun
31.05.1949	5416	Şose ve Köprüler Yapımı İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında Kanun
02.06.1949	5420	İskan Kanununun Bazı Maddelerinin Kaldırılmasına, Değiştirilmesine ve Bu Kanuna Yeniden Bazı Madde ve Fıkralar İlavesine Dair Olan 5098 Sayılı Kanunun Geçici 2 nci Maddesine Bazı Fıkralar Eklenmesi Hakkında Kanun
21.12.1949	5464	Hukuk Usulü Muhakemeleri Hakkındaki 1086 Sayılı Kanunun 81 ve 427 nci Maddeleriyle Aynı Kanunun 2606 Sayılı Kanunla Değiştirilmiş Olan 8 ve 438 inci Maddelerinin Değiştirilmesi Hakkında Kanun
23.12.1949	5477	Askeri Fabrikalar Tekaüt ve Muavenet Sandığı Hakkındaki 3575 Sayılı Kanuna Ek Kanun
09.01.1950	5511	Gördes Kasabasının Nakledileceği Kocamutluk Mevkiinde Yaptırılacak Meskenler Hakkında Kanun
30.01.1950	5522	Maarif Teşkilatına Dair Olan 789 Sayılı Kanunun 13 üncü Maddesinin ve 5166 Sayılı Kanuna Bağlı 2 Sayılı Cetvelin Değiştirilmesi Hakkında Kanun
01.02.1950	5524	Tescil Edilmeyen Birleşmelerle Bunlardan Doğan Çocukların Tesciline ve Gizli Kalmış Nüfus Vakıalarının Cezasız Olarak Kaydına Dair Kanun
11.02.1950	5530	4353 Sayılı Kanunun Geçici 1 inci Maddesi ile Tanınan ve 5163 Sayılı Kanunla İki Yıl Uzatılan Yetkinin Uzatılması ve 3499 Sayılı Kanunun 5 inci Maddesinin Uygulanmasının Geri Bırakılması Hakkında Kanun
16.02.1950	5540	Türk Parasının Kıymetini Koruma Hakkındaki 1567 Sayılı Kanunun Birinci ve 4328 Sayılı Kanunla Değiştirilen 3 üncü Maddelerinin Değiştirilmesine ve Bu Kanunun Süresinin Uzatılmasına Dair Kanun
01.03.1950	5572	Devlet Memurları Aylıklarının Tevhid ve Teadülüne Dair Olan 3656 Sayılı Kanuna Bağlı (1) Sayılı Cetvelin Adalet Bakanlığı ve Tapu ve Kadastro Genel Müdürlüğü Bölümlerinde Değişiklik Yapılması ve Kadastro ve Mahkemeleriyle Gezici Mahkemelerin Kaldırılması Hakkında Kanun
01.03.1950	5573	Sağlık ve Sosyal Yardım Bakanlığı Kuruluş ve Memurları Kanununa Bazı Hükümler Eklenmesine ve 4258 Sayılı Kanuna Bağlı Kadro Cetvellerinin Değiştirilmesine Dair Olan 4862 Sayılı Kanuna Bağlı Cetvellerde Değişiklik Yapılması Hakkında Kanun
01.03.1950	5576	İller Bankası Kanununun 22 nci Maddesinin Değiştirilmesi Hakkında Kanun
01.03.1950	5581	Atatürk Anıt-Kabri İnşasına Dair Olan 4677 Sayılı Kanuna Ek Kanun
06.03.1950	5586	Erzincan ve Erzurum Belediyelerine 4126 Sayılı Kanunla İkraz Edilen 3 300 000 Liralık Borcun Terkini Hakkında Kanun
06.03.1950	5587	Toprak Mahsulleri Ofisi Tarafından İthal Olunacak Hububat ve Unun Gümrük Vergisiyle Rıhtım Resminden Muafiyeti Hakkında Kanun
08.03.1950	5589	Yabancı Memleketlerle Geçici Mahiyette Ticaret Anlaşmaları ve Modüs Vivendüer Akdine ve Bunların Şumulüne Giren Maddelerin Gümrük Resimlerinde Değişiklikler Yapılmasına ve Anlaşmaya Yanaşmayan Devletler Muvaredatına Karşı Tedbirler Alınmasına Yetki Verilmesine Dair Olan 4582 Sayılı Kanunun Yürürlük Süresinin Uzatılması Hakkında Kanun
15.03.1950	5599	Avrupa Ekonomik İşbirliğine Dahil Memleketler ve Amerika Birleşik Devletleri ile Aktolunan Anlaşmalar Gereğince Yurda İthal Olunacak Malların Menşelerinin Tespiti Hakkında Kanun
15.03.1950	5600	Köy İnşaatı Dolayısıyla Köylülerle Muhtarlardan Aranılan Kazanç Vergilerinin Silinmesi Hakkında Kanun
15.03.1950	5601	Isparta Gülyağı Fabrikasının Tekel İdaresince Isparta Belediyesine Devri Hakkında Kanun
17.03.1950	5605	Ordu Mensuplarıyla Emniyet Genel Müdürlüğü ve Gümrük Muhafaza ve Muamele Sınıfı Kadrolarında Çalışanlara Birer Er Tayını Verilmesi Hakkındaki Kanuna Ek 4786 Sayılı Kanunun 1 inci Maddesinin Değiştirilmesine Dair Kanun
17.03.1950	5609	Subay ve Askeri Memurların Maaşlarına Dair Olan 4989 Sayılı Kanunun 1 inci Maddesi ile 4600 Sayılı Kanunun 3 üncü Maddesinin Değiştirilmesine ve Kanuna Geçici Maddeler Eklenmesine Dair Kanun
22.03.1950	5616	Devlet Demiryolları ve Limanları İşletme Genel Müdürlüğü Memur ve Hizmetlilerinin Ücretlerine Dair Olan 2847, 3173, 4620 ve 5000 Sayılı Kanunlarda Değişiklik Yapılmasına ve 2847 Sayılı Kanuna Bazı Maddeler Eklenmesine Dair Kanun
22.03.1950	5617	Hayvan Hırsızlığının Men i Hakkında Kanun
23.03.1950	5625	Tapu Harçları Kanununa Ek Kanun
23.03.1950	5635	Mühasebei Umumiye Kanununun 109 uncu Maddesinin H Fıkrasının Kaldırılması Hakkında Kanun
23.03.1950	5639	Av Vergisinin Kaldırılmasına Dair Kanun
23.03.1950	5642	Mesleki ve Teknik Okullar Açılması ve Mevcutların Büyütülmesi Hakkındaki Kanuna Ek Kanun
24.03.1950	5651	Gümrük Kanununun 17 nci Maddesine Bir Fıkra Eklenmesi Hakkında Kanun
24.03.1950	5657	Köy Okulları ve Köy Enstitüleri Teşkilatına Dair Olan Kanuna Bir Madde Eklenmesi Hakkında Kanun
24.03.1950	5663	Eskişehir de Sel Baskınından Zarar Görenler İçin Yaptırılacak Meskenler Hakkında Kanun
16.06.1950	5665	Türk Ceza Kanununun 526 ncı Maddesinin Değiştirilmesi Hakkında Kanun
07.07.1950	5670	İdarei Umumiyei Vilayet Kanununa Bazı Maddeler Eklenmesine ve Bu Kanunun 111 inci Maddesinin Değiştirilmesine ve 104 üncü Maddesinin Bazı Hükümlerinin Kaldırılmasına Dair Kanun
12.07.1950	5673	Askerlik Kanununun 5 inci Maddesinin Değiştirilmesi ve Bu Kanuna Geçici Bir Madde Eklenmesi Hakkında Kanun
12.07.1950	5674	Yedek Subay ve Yedek Askeri Memurlar Hakkındaki Kanunun 3923 Sayılı Kanunla Değiştirilen 3 üncü Maddesine Bir Fıkra Eklenmesi Hakkında Kanun
06.12.1950	5686	Birleşmiş Milletler Emrine Verilmek Üzere Askeri Birlikler Halinde Yabancı Ülkelere Gönderilecek Ordu Mensuplarının Aylık ve Ücretleriyle Çeşitli İstihkakları ve Birliğin Sair Masrafları Hakkında Kanun
08.12.1950	5687	Devlet Demiryolları ve Limanları İdarei Umumiyesinin Teşkilat ve Vezaifine Dair Olan Kanun ile Bu Kanunun Ek ve Tadillerinde Değişiklik Yapılması ve Bu Kanuna Yeni Bazı Hükümler Eklenmesi Hakkındaki Kanunun 4 üncü Maddesinin Değiştirilmesine Dair Kanun
10.01.1951	5695	Ceza Muhakemeleri Usulü Kanununun 200 üncü Maddesinin Değiştirilmesi Hakkında Kanun
10.01.1951	5696	Göçmenler Menfaatine Bir Keşide Tertibi İçin Milli Piyango İdaresine Yetki Verilmesine Dair Kanun
15.01.1951	5698	«Göçmen ve Mültecilere Türkiye Yardım Birliği» ne Yapılacak Nakdi Bağışların Gelir ve Kurumlar Vergileri Matrahlarından İndirilmesi Hakkında Kanun
15.01.1951	5699	Meşhut Suçların Muhakeme Usulü Hakkındaki Kanunun Bazı Maddelerinin Kaldırılmasına Dair Kanun
24.01.1951	5705	Çeşitli Kanunlarda Mevcut Çocuk Zammıyla İlgili Hükümlerde Değişiklik Yapılması Hakkında Kanun
09.02.1951	5715	Çeşitli Kanunlarda Mevcut Geçici Tazminat Hakkındaki Hükümlerin Kaldırılmasına Dair Kanun
09.02.1951	5716	Çeşitli Kanunlarda Mevcut İkramiyeler Hakkındaki Hükümlerin Kaldırılmasına Dair Kanun
09.02.1951	5717	Orta Öğretim Okullarında Çalıştırılan Yardımcı Öğretmenlere Ayni Yardım Verilmesi Hakkındaki 4599 Sayılı Kanun Hükmünün Kaldırılması ve Fevkalade Zam Hakkındaki 4178 Sayılı Kanun Hükmünün Bunlara Tatbik Edilmemesi Hakkında Kanun
27.02.1951	5744	Yükseköğretim Öğrenci Yurtları ve Aş Evleri Hakkındaki 5375 Sayılı Kanuna Ek Kanun
27.02.1951	5745	Sürekli Görevle Yabancı Memleketlerde Bulunan Memurların Aylıkları Hakkındaki Kanunda Değişiklik Yapılmasına Dair Kanun
27.02.1951	5746	Muhasebei Umumiye Kanununun 43 üncü Maddesinin Kaldırılması Hakkında Kanun
27.01.1951	5747	4353 Sayılı Kanunun Geçici Birinci Maddesi ile Tanınan ve 5530 Sayılı Kanunla Uzatılan Yetkinin Altı Ay Uzatılması Hakkında Kanun
02.03.1951	5753	Ordu Mensuplarının Evlenmelerine Dair Olan Kanunun 1 inci Maddesinin Kaldırılması Hakkında Kanun
30.04.1951	5760	2133 Sayılı Devlet Kitapları Döner Sermayesi Hakkındaki Kanunun 4 üncü Maddesinin Değiştirilmesine Dair Olan Kanun Süresinin Uzatılması Hakkında Kanun
09.05.1951	5762	Demirci Yangın Yerindeki Arsaların Tevhid, ifraz ve Tevzii Hakkında Kanun
16.05.1951	5764	Toprak Mahsulleri Ofisi Tarafından veya Namına Hariçten İthal Olunacak Hububat ve Unlarla Bunların Nakillerinde Kullanılacak Çeşitli Malzemenin Gümrük Vergisi ile Rıhtım Resminden ve Diğer Vergi, Resim ve Harçlardan Muafiyeti Hakkında Kanun
16.05.1951	5766	Milli Korunma Kanununun 65 inci Maddesinin Değiştirilmesi ve 66 ncı Maddesinin Kaldırılması Hakkında Kanun
23.05.1951	5771	T.C. Emekli Sandığı Kanununun Geçici 65 ve 68 inci Maddelerinde Yazılı Müracaat İçin Yeniden Üç Aylık Müddet Verilmesi Hakkında Kanun
23.05.1951	5774	2292 Sayılı Kanun Mucibince Hazineye İntikal Eden Banknotlar Muadili Altınların Amortisman Sandığına Devri Hakkında Kanun
28.05.1951	5776	Atatürk Anıt Kabir İnşası Hakkındaki 4677 ve 5581 Sayılı Kanunlara Ek Kanun
06.06.1951	5784	Halkevleri İçin İthal Olunacak Radyo ve Sinema Makinelerinin Muamele Vergisi ile Gümrük ve Oktrova Resimlerinden İstisnası Hakkındaki Kanunun Yürürlükten Kaldırılmasına Dair Kanun
08.06.1951	5785	Eskişehirde Vakıf Çifteler Çiftliği İçinde İşgal Edilmiş Yerler İçin Ecrimisil Aranmaması Hakkında Kanun
13.06.1951	5787	Basın Birliği Kanununun Kaldırılması Hakkındaki 4932 Sayılı Kanunda Değişiklik Yapılması Hakkında Kanun
27.06.1951	5796	İstanbul Üniversiteleri Binalarının Yapımı Hakkındaki 4999 Sayılı Kanunun 1 inci Maddesinde Değişiklik Yapılmasına Dair Kanun
27.06.1951	5798	Kör, Sağır ve Dilsizlere Mahsus Bazı Alet ve Cihazların Gümrük Resmi ile Diğer Vergi ve Resimlerden Muaflığı Hakkında Kanun
29.06.1951	5800	Kadrodan Çıkarılmış Bulunan Harp Gemilerinin Satılmasına Dair Kanun
02.07.1951	5807	Muhtaç Çiftçilere Ödünç Tohumluk Verilmesi Hakkındaki 5254 Sayılı Kanuna Ek Kanun
27.07.1951	5817	Tedip ve Tenkil Hareketleri Sırasında Yabancı Memleketlere İltica ve 5677 Sayılı Af Kanunundan İstifade ile Memlekete Dönen Yoklama Kaçağı Bakaya ve Saklı Efradın Askerlik Muamelerinin Tehirine Dair Kanun
01.08.1951	5822	Sağır, Dilsiz ve Körler Müessesesinin Milli Eğitim Bakanlığına Devrine Dair Kanun
08.08.1951	5830	Resmi Daire ve Müesseselerin Siyasi Partilere Bedelsiz Mal Devredemeyeceklerine ve Bu Daire ve Müesseselerle Münfesih Derneklere Ait Olup Siyasi Partilere Terk Edilmiş Olan Gayrimenkul Mallarla Bu Partiler Tarafından Genel Menfaatler İçin Yaptırılmış Olan Binaların Sahiplerine ve Hazineye İadesine Dair Kanun
08.08.1951	5833	Hariçten Satın Alınan Buharlı ve Motorlu Gemilerle Memlekette Yapılan Mümasilleri İçin Getirtilecek Eşyanın Gümrük Resminden İstisnası Hakkındaki 3339 Sayılı Kanunun Yürürlük Süresinin Uzatılmasına Dair Kanun
10.08.1951	5838	Subay ve Askeri Memurların Maaşları Hakkındaki Kanunun 1 ve 2 nci Maddelerinin Değiştirilmesine Dair Kanun
10.08.1951	5840	Tapu - Kadastro Genel Müdürlüğü ile Toprak ve İskan İşleri Genel Müdürlüğünün Başbakanlığa Bağlanmasına Dair Kanun
10.08.1951	5843	Devlet Hava Yolları Genel Müdürlüğü İhtiyaçları İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında 4860 Sayılı Kanunun 1. Maddesini Değiştiren 5076 Sayılı Kanuna Ek Kanun
26.12.1951	5855	T.B.M.M. Binası ve Eklenti Binaları ile Tesislerinin Yapımı Yetkisinin Bayındırlık Bakanlığına Devri Hakkında Kanuna Ek Kanun
16.01.1952	5860	16.03.1950 Tarihli ve 5602 Sayılı Tapulama Kanununa Ek Kanun
25.01.1952	5864	Altmış Milyon Liralık İç İstikraz Akdi Hakkında Kanun
08.02.1952	5878	Turistik Otel İnşası İçin İstanbul Belediyesi Tarafından T.C. Emekli Sandığına Devredilecek Arsalar Hakkında Kanun
13.02.1952	5880	Sağlık ve Sosyal Yardım Bakanlığı Kuruluş ve Memurları Kanununa Ek 4862 Sayılı Kanuna Bağlı Kadro Cetvellerinde Değişiklik Yapılmasına ve 4871 Sayılı Kanunun 3 üncü Maddesinin 2 nci Fıkrasının Kaldırılmasına Dair Kanun
06.06.1952	5948	Gördes Kasabasının Nakledileceği Kocamutluk Mevkiinde Yaptırılacak Meskenler Hakkındaki Kanunun 1 inci Maddesine Bazı Fıkralar İlavesine Dair Kanun
09.06.1952	5949	Yabancı Memleketlerle Geçici Mahiyette Ticaret Anlaşmaları ve Modüs Vivendiler Akdine ve Bunların Şumulüne Giren Maddelerin Gümrük Resimlerinde Değişiklik Yapılmasına ve Anlaşmaya Yanaşmayan Devletler Muvaredatına Karşı Tedbirler Alınmasına Yetki Verilmesine Dair Kanunun Yürürlük Süresinin Uzatılması Hakkında Kanun
13.06.1952	5952	Devlet Memurları Aylıklarının Tevhid ve Teadülüne Dair Olan Kanuna Bağlı (I) Sayılı Cetvelin 4665 Sayılı Kanunla Değiştirilen Dışişleri Bakanlığı Kısmına Bazı Kadrolar Eklenmesi ve Dışişleri Bakanlığı Kuruluşu Hakkındaki 3312 Sayılı Kanuna Bazı Hükümler İlavesi Hakkında Kanun
16.06.1952	5962	Ankara Gençlik Parkındaki Bina ve Tesislerin Ankara Belediyesine Devri Hakkında Kanun
18.06.1952	5964	Gümrük Kanununun 18 inci Maddesi Uyarınca Gümrük Resminden Muaf Olarak Yurda Giren Eşyadan Tekel Maddesi Olanlarının Tekel Resmi ile Diğer Vergi ve Resimlerden Muafiyetine Dair Kanun
18.06.1952	5966	Türkiye Cumhuriyeti Emekli Sandığı Kanununun Geçici 3 üncü Maddesine İki Fıkra Eklenmesi Hakkında Kanun
20.06.1952	5982	Vakıflar Kanununun 27 nci Maddesine Bir Fıkra Eklenmesi Hakkında Kanun
