5637 sayılı Uygulama İmkanı Kalmamış Bazı Kanunların Yürürlükten Kaldırılmasına Dair Kanun
Yayımlandığı Resmî Gazete Tarihi: 02.05.2007
Yayımlandığı Resmî Gazete Sayısı: 26510
Kabul Tarihi	26.04.2007
Madde 0001 : Yürürlükten kaldırılan kanunlar
(1) Ekli listede yer alan kanunlar yürürlükten kaldırılmıştır.
Madde 0002 : Yürürlük
(1) Bu Kanun yayımı tarihinde yürürlüğe girer.
Madde 0003 : Yürütme
(1) Bu Kanun hükümlerini Bakanlar Kurulu yürütür.
Liste :
Sıra  	  Kanunun  	  Kanunun
No.  	  Tarihi  	  Numarası  	  Kanunun Adı
1.  	  16 Teşrinisani 1329  	  Merakibi Bahriyeden Maada Mahallerde Kullanılan Müvellidi Buharlarla, Buhar Hazineleri ve Motörler Nizamnamesine Muhalefet Edenler Hakkında Kanunu Muvakkat
67.  	  20/4/1961  	  297  	  Devlet Su İşleri Umum Müdürlüğünce Girişilecek Sari Taahhüt İşlerinde Kullanılmak Üzere Bono İhracına Yetki Verilmesi Hakkında Kanun
68.  	  29/5/1961  	  307  	  Karayolları Yapımı İçin Girişilecek Sari Taahhüt İşlerinde Kullanılmak Üzere Bono  İhracına Yetki Verilmesi Hakkında Kanun
69.  	  26/12/1962  	  140  	  Türk Vatandaşlarının Türkiye Büyük Millet Meclisine Dilekçe ile Başvurmaları ve Dilekçelerin İncelenmesi ile Karara Bağlanmasının Düzenlenmesine Dair Kanun
70.  	  19/2/1963  	  203  	  Tapu ve Kadastro Genel Müdürlüğü Uçucularına Verilecek Uçuş Tazminatı Hakkında Kanun
71.  	  12/7/1963  	  273  	  Cezaevleri İnşaası İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesine ve İstikraz Akdine Dair Kanun
72.  	  5/9/1963  	  325  	  Kamu İktisadî Teşebbüslerinin 1960 ve Daha Önceki Bütçe Yıllarına Ait Bir Kısım Vergi Borçlarının Tasfiyesi Hakkında Kanun
73.  	  14/5/1964  	  475  	  Lübnan a Silah Satışından Doğan Alacağımızla Fransız Hükümetinin Emrine Verdiği Bazı Meblağların Lübnan a ve Fransa da Türk Misyonları İçin Arsa, Bina Satınalınmasına  veya Yaptırılmasına Ayrılması Hakkında Kanun
74.  	  31/3/1965  	  555  	  Sağlık Eğitim Enstitüleri Kuruluş Kanunu
75.  	  20/4/1965  	  581  	  Türkiye Cumhuriyeti Hükümeti ile Amerika Birleşik Devletleri Hükümeti Arasında Yapılan Zirai İstihsal Fazlası Andlaşmaları Gereğince  İthal Olunacak Zirai ve Gıdai Maddeler ile  Bedelsiz Olarak Verilen Amerikan İhtiyaç Fazlası Malzeme, Teçhizat ve Vasıtaların Vergi Muafiyeti Hakkında Kanun
76.  	  4/1/1966  	  708  	  440 Sayılı Kanuna Tabi Kuruluşlardan Sağlık Teşkilatı Olanlarda Çalışan Tabip, Diş Tabibi ve Eczacıların 224 ve 472 Sayılı Kanunlardan İstifade Ettirilmesine Dair Kanun
77.  	  20/1/1966  	  717  	  1965 Kalkınma İstikrazı Hakkında Kanun
78.  	  29/12/1966  	  818  	  1966 Kalkınma İstikrazı Hakkında Kanun
79.  	  23/1/1968  	  992  	  1967 Kalkınma İstikrazı Hakkında Kanun
80.  	  4/2/1969  	  1100  	  1968 Kalkınma İstikrazı Hakkında Kanun
81.  	  29/1/1970  	  1216  	  1969 Kalkınma İstikrazı Hakkında Kanun
82.  	  18/2/1971  	  1344  	  Devlet İç İstikraz Tahvillerine Uygulanacak Faiz Hadlerinin Tespit ve Gerektiğinde İkramiye Keşideleri Tertibi Hakkında Kanun
83.  	  23/6/1971  	  1417  	  Deniz Kuvvetlerine Yabancı Memleketlerden Harb Gemileri, Harb Gemisi Cihaz ve Silahları ve Harb Gemisi İnşa Malzemesi Satın Alınmasına Dair Kanun
84.  	  7/2/1972  	  1516  	  İstanbul Boğaz Köprüsü ve Çevre Yolu Projesi Sahasındaki Gecekonduların Tasfiyesi Hakkında Kanun
85.  	  14/3/1972  	  1573  	  Atatürk Üniversitesinde Kurulacak Teknoloji ve Ev Ekonomisi Araştırma ve Yayım Enstitüsü ile Kürk Hayvanları Yetiştirme ve Yayım Çiftliği İşletmesi Hakkında Kanun
86.  	  20/3/1975  	  1870  	  Kadroları İl Özel İdarelerine Ait Bulunan Kütüphane ve Müze Personelinin Aylıklarının Genel Bütçeden Ödenmesi Hakkında Kanun
87.  	  22/5/1975  	  1902  	  Belediyelerin, Belediyelere Bağlı Müessese ve İşletmelerin, Köy Tüzel Kişiliklerinin, Kamu İktisadi Teşebbüslerinin ve Tekel Genel Müdürlüğünün Bir Kısım Borçlarının Tahkimi Hakkında Kanun
88.  	  1/2/1977  	  2032  	  Köye Götürülen Hizmetlerden Gönüllü Katkılar Dışında Katılma Payı Alınmaması Hakkında Kanun
89.  	  25/9/1980  	  2305  	  6136 Sayılı Ateşli Silahlar ve Bıçaklar ile Diğer Aletler Hakkında Kanun ile Türk Ceza Kanununun 264 üncü Maddesinde Yer Alan Ateşli Silahlar, Patlayıcı Maddeler, Bıçaklar ve Benzeri Aletlerin Teslimi Hakkında Kanun
90.  	  13/2/1981  	  2385  	  Bayındırlık Bakanlığınca Yaptırılacak Sivil Akaryakıt ve Doğal Gazların Boru Hatları ile Taşınması, Depolanması ve Dağıtılmasına Ait Tesislerin İhale Esaslarına Dair Kanun
91.  	  20/3/1981  	  2431  	  Tahsilatın Hızlandırılması Hakkında Kanun
92.  	  4/6/1981  	  2472  	  Atatürk Barajı ve Hidroelektrik Santralı, Karakaya Barajı ve Hidroelektrik Santralı ile Afşin-Elbistan Linyitleri Developmanı ve Termik Santralı Projelerinde Çalıştırılacak Sözleşmeli Personel Hakkında Kanun
93.  	  28/7/1981  	  2501  	  Romen İndepentante Tankerinin Deniz Kuvvetleri Komutanlığı Tarafından Çıkarılabilmesine İzin Verilmesine İlişkin Kanun
94.  	  22/10/1981  	  2542  	  Tuzla Deniz Harb Okulu İnşaatının Tamamlanması ve Hizmete Açılması ile İlgili Kanun
95.  	  30/12/1981  	  2569  	  T.C. Ziraat Bankasının Türkiye Cumhuriyet Merkez Bankasına Olan Bir Kısım Borçlarının  Hazineden ve Bazı Kuruluşlardan Olan Alacakları Karşılığında Tahkim Edilmesi Hakkında Kanun
96.  	  17/3/1982  	  2641  	  Afganistan'dan  Pakistana Sığınan Türk Soylu Göçmenlerin Türkiye'ye Kabulü ve İskânına Dair Kanun
97.  	  26/3/1982  	  2644  	  Ödeme Güçlüğü İçinde Bulunan Bankerlere ve Bunlarla İlgili Kişilere Uygulanacak Ceza Hükümleri Hakkında Kanun
98.  	  22/2/1983  	  2801  	  Bazı Kamu Alacaklarının Özel Uzlaşma Yolu ile  Tahsili Hakkında Kanun
99.  	  11/8/1983  	  2874  	  Tasfiye Halindeki Bankerlerin Tasfiyelerinin Hızlandırılması Hakkında Kanun
100.  	  31/1/1984  	  2974  	  Bazı Kamu Kurum ve Kuruluşlarının Borçlarının Tahkimi Hakkında Kanun
101.  	  1/5/1985  	  3191  	  Kalkınmada Öncelikli Yörelerde Sözleşmeli Hazine Avukatı Çalıştırılması Hakkında Kanun
102.  	  25/12/1985  	  3249  	  Memurlar ile Diğer Kamu Görevlilerinin Bazı Disiplin Cezalarının Affı Hakkında Kanun
103.  	  4/11/1986  	  3315  	  Lastik Tekerlekli Traktörlerin Tescili İçin Süre Verilmesi Hakkında Kanun Hükmünde Kararnamenin Kabulüne Dair Kanun
104.  	  15/4/1987  	  3352  	  Emniyeti Umumiye İdaresinin Nezareti Altında Bulundurulma Ceza ve Tedbirlerinin Yürürlükten Kaldırılması Hakkında Kanun
105.  	  8/5/1991  	  3714  	  3, 4, 6, 7, 10 ve 14 Sayılı Kanun Hükmünde Kararnamelerin  Yürürlükten Kaldırılmasına Dair Kanun
106.  	  15/5/1991  	  3743  	  19, 47, 89, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 164, 166 ve 167 Sayılı Kanun Hükmünde Kararnamelerin Yürürlükten Kaldırılmasına Dair Kanun
107.  	  26/2/1992  	  3776  	  29, 51, 64, 172 ve 173 Sayılı Kanun Hükmünde Kararnamelerin Yürürlükten Kaldırılmasına Dair Kanun
108.  	  18/6/1992  	  3817  	  Memurlar ile Diğer Kamu Görevlilerinin Disiplin Cezalarının Affı Hakkında Kanun
109.  	  26/11/1992  	  3852  	  Terörle Mücadele Kanununun Geçici 9 uncu Maddesine Göre Yapılan Tasarruflar Hakkında Kanun
110.  	  1/6/1994  	  3992  	  İhraç Bedeli Dövizlerini Süresinde Yurda Getirmeyenlere 1567 Sayılı Türk Parasının Kıymetini Koruma Hakkında Kanun Gereğince Uygulanacak Cezaların Affına Dair Kanun
111.  	  22/9/1994  	  4033  	  1996 Türkiye Europalia Festivaline İlişkin Kanun
112.  	  27/4/1995  	  4106  	  Çiftçilerin T.C. Ziraat Bankasına, Tarım Kredi Kooperatiflerine, Tarım İşletmeleri Genel Müdürlüğüne, Türkiye Zirai Donatım Kurumuna, Toprak Mahsulleri Ofisine, Orman ve Köy İlişkileri Genel Müdürlüğüne Olan Bir Kısım Borç Faizlerinin Silinmesine Dair Kanun
113.  	  20/11/1996  	  4213  	  Kıymetli Maden ve Ziynet Eşyası Beyanı Hakkında Kanun
114.  	  30/7/1997  	  4300  	  Genel Nüfus Tespiti Yapılması ve Seçmen Kütüklerinin Güncelleştirilmesi Hakkında Kanun
115.  	  28/8/1999  	  4455  	  Memurlar ile Diğer Kamu Görevlilerinin Disiplin Cezalarının Affı Hakkında Kanun
116.  	  3/11/1999  	  4460  	  Spor-Toto Teşkilat Müdürlüğünün İstihdam Fazlası Personelinin Diğer Kamu Kurum ve Kuruluşlarının Kadrolarına Atamalarının Yapılması Hakkında Kanun
117.  	  21/12/2000  	  4615  	  Memurlar ve Diğer Kamu Görevlileri Hakkındaki Bazı Kanunlarda Değişiklik Yapılmasına Dair Yetki Kanunu
118.  	  3/4/2003  	  4837  	  Ekonomik İstikrarı Sağlamak İçin Ek Vergiler Alınması Hakkında Kanun
Yükleyen: yasinuzunoglu
